common_voice_pa-IN_21717904.mp3,ਉਨ੍ਹਾਂ ਨੇ ਸਾਰੇ ਤਜ਼ਰਬੇ ਵੱਖਰੀ ਕਿਸਮ ਦੇ ਕੀਤੇ ਹਨ
common_voice_pa-IN_21717905.mp3,ਸ਼ਹਿਰਾਂ ਗਲੀਆਂ ਵਿਚ ਸਾਰੇ ਲਿਖਵਾ ਦਿਆਂ
common_voice_pa-IN_21717906.mp3,ਆਊਟਡੋਰਸ ਚ ਪਏ ਟੋਇਆਂ ਦੀ ਰੀਪੇਅਰ ਕਰਵਾਓ
common_voice_pa-IN_21717907.mp3,ਜੰਗ ਵਿਆਂ ਵਿੱਚ ਲੜੀ ਗਈ
common_voice_pa-IN_21717908.mp3,ਧਰਮ ਦੇ ਨਾਂ ਤੇ ਦੇਸ਼ ਦੀ ਵੰਡ
common_voice_pa-IN_21722988.mp3,ਉਦੋਂ ਭੂਤਾਂ ਪ੍ਰੇਤਾਂ ਦੀਆਂ ਗੱਲਾਂ ਆਮ ਹੁੰਦੀਆਂ ਸਨ
common_voice_pa-IN_21722989.mp3,ਬੰਦੇ ਨੂੰ ਬੰਦਾ ਰਹਿਣ ਈ ਨਈਂ ਦਿੰਦੀਆਂ
common_voice_pa-IN_21722990.mp3,ਨਹੀਂ ਤਾਂ ਸਭ ਕੋਲੋਂ ਹੀ ਭਰਨਾ ਪਵੇਗਾ
common_voice_pa-IN_21722991.mp3,ਵਿਕਾਸ ਮਨੁੱਖਤਾ ਦਾ ਸੁੰਦਰ ਵਰਤਾਰਾ ਹੈ
common_voice_pa-IN_21722992.mp3,ਅਜੇ ਤਾਂ ਮੇਰੀ ਉਮਰ ਨਾ ਮੁੱਕੀ
common_voice_pa-IN_21722998.mp3,ਅਤੇ ਬਹਿਆ ਭੋਜਨ ਰੀਸਾਈਕਲ ਕਰਕੇ ਉਸਨੂੰ ਦੁਬਾਰਾ ਖਾਣ ਯੋਗ ਬਣਾ ਦੇਵੇਗਾ
common_voice_pa-IN_21722999.mp3,ਘਰ ਬਾਹਰ ਪੈਸੇ ਲਈ ਛੱਡਿਆ ਏ
common_voice_pa-IN_21723000.mp3,ਵਿਆਹ ਦੀ ਸਨਦ ਇਥੇ ਜਰੂਰੀ ਨਹੀਂ ਹੈ
common_voice_pa-IN_21723001.mp3,ਦੋਵੇਂ ਹਾਕੀ ਦੇ ਧਨੰਤਰ ਫੁੱਲ ਬੈਕ ਖਿਡਾਰੀ ਸਨ
common_voice_pa-IN_21723002.mp3,ਦੇਸ਼ ਲਈ ਕੁਰਬਾਨ ਹੋਣ ਦੀਆਂ ਗੱਲਾਂ ਕਰਨ ਵਾਲੇ
common_voice_pa-IN_21723008.mp3,ਨੰਬਰਦਾਰ ਗੱਲਾਂ ਸੁਣਦਾ ਖੁਸ਼ੀ ਵਿਚ ਆਫ਼ਰਿਆ ਬੈਠਾ ਸੀ
common_voice_pa-IN_21723009.mp3,ਕੌਮਾਂ ਵੀਰੋ ਸੁੱਤੀਆਂ ਕਵੀ ਹੀ ਜਾਗਣ ਸਾਰੇ
common_voice_pa-IN_21723010.mp3,ਤੱਤ ਖਾਲਸਾ ਤੇ ਬੰਦਈ ਖਾਲਸਾ ਮਸਲੇ ਦੀ ਅਸਲੀਅਤ ਕੀ ਹੈ
common_voice_pa-IN_21723011.mp3,ਛੇਤੀ ਲਾਭ ਦੇਣ ਵਾਲਾ ਫਲ ਪਪੀਤਾ
common_voice_pa-IN_21723012.mp3,ਉਹ ਖਾਣ ਪੀਣ ਦਾ ਧਿਆਨ ਰੱਖਣ ਲੱਗੀ
common_voice_pa-IN_21723018.mp3,ਗੁਆਂਢੀਆਂ ਨੂੰ ਕਦੇ ਵੀ ਮਾੜਾ ਲਫ਼ਜ਼ ਨਾ ਬੋਲੋ
common_voice_pa-IN_21723019.mp3,ਗੁਰੂ ਸਾਹਿਬ ਨੇ ਪੁੱਤਰ ਨੂੰ ਹਿੱਕ ਨਾਲ ਲਾਇਆ
common_voice_pa-IN_21723020.mp3,ਬਦਕਿਸਮਤੀ ਨਾਲ ਉਹ ਛੋਟੀ ਉਮਰੇ ਚੱਲ ਵਸਿਆ
common_voice_pa-IN_21723021.mp3,ਕਬੱਡੀ ਮੈਚ ਕਨਿੰਘਮ ਪਾਰਕ ਵਿਚ ਹੋਣੇ ਸਨ
common_voice_pa-IN_21723022.mp3,ਕੁੱਝ ਪੈਸਾ ਇਸ ਕੰਮ ਵਾਸਤੇ ਵੀ ਰੱਖੋ
common_voice_pa-IN_21916812.mp3,ਪੁੱਤ ਨੂੰ ਜਹਿਰ ਦੇ ਰਿਹਾ ਸੀ
common_voice_pa-IN_21916814.mp3,ਫੇਰ ਟੈਕਸੀ ਲੈ ਕੇ ਸਾਡੇ ਕੋਲ਼ ਆਇਆ ਸੀ
